,name,valenceValue_rounded,arousalValue_rounded,path,affect
400,ACCEDE07754,1.4,4.54,d:/optilab/synchrony/data/videoACCEDE07754.mp4,lowV_highA
401,ACCEDE07752,1.37,4.54,d:/optilab/synchrony/data/videoACCEDE07752.mp4,lowV_highA
402,ACCEDE08437,1.33,4.54,d:/optilab/synchrony/data/videoACCEDE08437.mp4,lowV_highA
403,ACCEDE02535,1.63,4.54,d:/optilab/synchrony/data/videoACCEDE02535.mp4,lowV_highA
404,ACCEDE07743,1.47,4.54,d:/optilab/synchrony/data/videoACCEDE07743.mp4,lowV_highA
405,ACCEDE07749,1.45,4.54,d:/optilab/synchrony/data/videoACCEDE07749.mp4,lowV_highA
406,ACCEDE07761,1.36,4.54,d:/optilab/synchrony/data/videoACCEDE07761.mp4,lowV_highA
407,ACCEDE02093,1.45,4.54,d:/optilab/synchrony/data/videoACCEDE02093.mp4,lowV_highA
408,ACCEDE02567,1.57,4.54,d:/optilab/synchrony/data/videoACCEDE02567.mp4,lowV_highA
409,ACCEDE02584,1.33,4.54,d:/optilab/synchrony/data/videoACCEDE02584.mp4,lowV_highA
410,ACCEDE02105,1.44,4.53,d:/optilab/synchrony/data/videoACCEDE02105.mp4,lowV_highA
411,ACCEDE07751,1.37,4.53,d:/optilab/synchrony/data/videoACCEDE07751.mp4,lowV_highA
412,ACCEDE00973,1.47,4.53,d:/optilab/synchrony/data/videoACCEDE00973.mp4,lowV_highA
413,ACCEDE02594,1.45,4.53,d:/optilab/synchrony/data/videoACCEDE02594.mp4,lowV_highA
414,ACCEDE02888,1.45,4.53,d:/optilab/synchrony/data/videoACCEDE02888.mp4,lowV_highA
415,ACCEDE02508,1.52,4.53,d:/optilab/synchrony/data/videoACCEDE02508.mp4,lowV_highA
416,ACCEDE07165,1.33,4.53,d:/optilab/synchrony/data/videoACCEDE07165.mp4,lowV_highA
417,ACCEDE02554,1.36,4.53,d:/optilab/synchrony/data/videoACCEDE02554.mp4,lowV_highA
418,ACCEDE02450,1.36,4.53,d:/optilab/synchrony/data/videoACCEDE02450.mp4,lowV_highA
419,ACCEDE07756,1.39,4.53,d:/optilab/synchrony/data/videoACCEDE07756.mp4,lowV_highA
420,ACCEDE07771,1.48,4.52,d:/optilab/synchrony/data/videoACCEDE07771.mp4,lowV_highA
421,ACCEDE02109,1.63,4.52,d:/optilab/synchrony/data/videoACCEDE02109.mp4,lowV_highA
422,ACCEDE00573,1.38,4.52,d:/optilab/synchrony/data/videoACCEDE00573.mp4,lowV_highA
423,ACCEDE02887,1.47,4.52,d:/optilab/synchrony/data/videoACCEDE02887.mp4,lowV_highA
424,ACCEDE07780,1.47,4.52,d:/optilab/synchrony/data/videoACCEDE07780.mp4,lowV_highA
425,ACCEDE07779,1.52,4.52,d:/optilab/synchrony/data/videoACCEDE07779.mp4,lowV_highA
426,ACCEDE02565,1.61,4.52,d:/optilab/synchrony/data/videoACCEDE02565.mp4,lowV_highA
427,ACCEDE02112,1.45,4.52,d:/optilab/synchrony/data/videoACCEDE02112.mp4,lowV_highA
428,ACCEDE07164,1.36,4.52,d:/optilab/synchrony/data/videoACCEDE07164.mp4,lowV_highA
429,ACCEDE02575,1.39,4.52,d:/optilab/synchrony/data/videoACCEDE02575.mp4,lowV_highA
430,ACCEDE07161,1.44,4.51,d:/optilab/synchrony/data/videoACCEDE07161.mp4,lowV_highA
431,ACCEDE02058,1.44,4.51,d:/optilab/synchrony/data/videoACCEDE02058.mp4,lowV_highA
432,ACCEDE07882,1.68,4.51,d:/optilab/synchrony/data/videoACCEDE07882.mp4,lowV_highA
433,ACCEDE06550,1.48,4.51,d:/optilab/synchrony/data/videoACCEDE06550.mp4,lowV_highA
434,ACCEDE02097,1.37,4.51,d:/optilab/synchrony/data/videoACCEDE02097.mp4,lowV_highA
435,ACCEDE04614,1.33,4.51,d:/optilab/synchrony/data/videoACCEDE04614.mp4,lowV_highA
436,ACCEDE00939,1.33,4.51,d:/optilab/synchrony/data/videoACCEDE00939.mp4,lowV_highA
437,ACCEDE02558,1.34,4.51,d:/optilab/synchrony/data/videoACCEDE02558.mp4,lowV_highA
438,ACCEDE07224,1.55,4.51,d:/optilab/synchrony/data/videoACCEDE07224.mp4,lowV_highA
439,ACCEDE04619,1.53,4.5,d:/optilab/synchrony/data/videoACCEDE04619.mp4,lowV_highA
440,ACCEDE05358,1.38,4.5,d:/optilab/synchrony/data/videoACCEDE05358.mp4,lowV_highA
441,ACCEDE02421,1.38,4.5,d:/optilab/synchrony/data/videoACCEDE02421.mp4,lowV_highA
442,ACCEDE01234,1.4,4.5,d:/optilab/synchrony/data/videoACCEDE01234.mp4,lowV_highA
443,ACCEDE02448,1.45,4.5,d:/optilab/synchrony/data/videoACCEDE02448.mp4,lowV_highA
444,ACCEDE07734,1.45,4.5,d:/optilab/synchrony/data/videoACCEDE07734.mp4,lowV_highA
445,ACCEDE00982,1.54,4.5,d:/optilab/synchrony/data/videoACCEDE00982.mp4,lowV_highA
446,ACCEDE02079,1.46,4.5,d:/optilab/synchrony/data/videoACCEDE02079.mp4,lowV_highA
447,ACCEDE02743,1.58,4.5,d:/optilab/synchrony/data/videoACCEDE02743.mp4,lowV_highA
448,ACCEDE06285,1.49,4.49,d:/optilab/synchrony/data/videoACCEDE06285.mp4,lowV_highA
449,ACCEDE01955,1.47,4.49,d:/optilab/synchrony/data/videoACCEDE01955.mp4,lowV_highA
450,ACCEDE09287,1.38,4.49,d:/optilab/synchrony/data/videoACCEDE09287.mp4,lowV_highA
451,ACCEDE08349,1.51,4.49,d:/optilab/synchrony/data/videoACCEDE08349.mp4,lowV_highA
452,ACCEDE02927,1.46,4.49,d:/optilab/synchrony/data/videoACCEDE02927.mp4,lowV_highA
453,ACCEDE02577,1.38,4.49,d:/optilab/synchrony/data/videoACCEDE02577.mp4,lowV_highA
454,ACCEDE03399,1.35,4.48,d:/optilab/synchrony/data/videoACCEDE03399.mp4,lowV_highA
455,ACCEDE06973,1.36,4.48,d:/optilab/synchrony/data/videoACCEDE06973.mp4,lowV_highA
456,ACCEDE07770,1.6,4.48,d:/optilab/synchrony/data/videoACCEDE07770.mp4,lowV_highA
457,ACCEDE07581,1.47,4.48,d:/optilab/synchrony/data/videoACCEDE07581.mp4,lowV_highA
458,ACCEDE02096,1.52,4.48,d:/optilab/synchrony/data/videoACCEDE02096.mp4,lowV_highA
459,ACCEDE05350,1.52,4.48,d:/optilab/synchrony/data/videoACCEDE05350.mp4,lowV_highA
460,ACCEDE00025,1.53,4.47,d:/optilab/synchrony/data/videoACCEDE00025.mp4,lowV_highA
461,ACCEDE04862,1.48,4.47,d:/optilab/synchrony/data/videoACCEDE04862.mp4,lowV_highA
462,ACCEDE02439,1.54,4.47,d:/optilab/synchrony/data/videoACCEDE02439.mp4,lowV_highA
463,ACCEDE00917,1.52,4.47,d:/optilab/synchrony/data/videoACCEDE00917.mp4,lowV_highA
464,ACCEDE02568,1.36,4.47,d:/optilab/synchrony/data/videoACCEDE02568.mp4,lowV_highA
465,ACCEDE07731,1.61,4.47,d:/optilab/synchrony/data/videoACCEDE07731.mp4,lowV_highA
466,ACCEDE03128,1.34,4.46,d:/optilab/synchrony/data/videoACCEDE03128.mp4,lowV_highA
467,ACCEDE01228,1.37,4.46,d:/optilab/synchrony/data/videoACCEDE01228.mp4,lowV_highA
468,ACCEDE01264,1.65,4.45,d:/optilab/synchrony/data/videoACCEDE01264.mp4,lowV_highA
469,ACCEDE00580,1.67,4.45,d:/optilab/synchrony/data/videoACCEDE00580.mp4,lowV_highA
470,ACCEDE05082,1.6,4.45,d:/optilab/synchrony/data/videoACCEDE05082.mp4,lowV_highA
471,ACCEDE03674,1.67,4.45,d:/optilab/synchrony/data/videoACCEDE03674.mp4,lowV_highA
472,ACCEDE03208,1.33,4.45,d:/optilab/synchrony/data/videoACCEDE03208.mp4,lowV_highA
473,ACCEDE01236,1.51,4.44,d:/optilab/synchrony/data/videoACCEDE01236.mp4,lowV_highA
474,ACCEDE02922,1.39,4.44,d:/optilab/synchrony/data/videoACCEDE02922.mp4,lowV_highA
475,ACCEDE06978,1.57,4.44,d:/optilab/synchrony/data/videoACCEDE06978.mp4,lowV_highA
476,ACCEDE00664,1.47,4.44,d:/optilab/synchrony/data/videoACCEDE00664.mp4,lowV_highA
477,ACCEDE07746,1.36,4.44,d:/optilab/synchrony/data/videoACCEDE07746.mp4,lowV_highA
478,ACCEDE02880,1.4,4.43,d:/optilab/synchrony/data/videoACCEDE02880.mp4,lowV_highA
479,ACCEDE00794,1.49,4.43,d:/optilab/synchrony/data/videoACCEDE00794.mp4,lowV_highA
480,ACCEDE02776,1.59,4.43,d:/optilab/synchrony/data/videoACCEDE02776.mp4,lowV_highA
481,ACCEDE08872,1.34,4.43,d:/optilab/synchrony/data/videoACCEDE08872.mp4,lowV_highA
482,ACCEDE07763,1.6,4.42,d:/optilab/synchrony/data/videoACCEDE07763.mp4,lowV_highA
483,ACCEDE00739,1.33,4.42,d:/optilab/synchrony/data/videoACCEDE00739.mp4,lowV_highA
484,ACCEDE01397,1.45,4.41,d:/optilab/synchrony/data/videoACCEDE01397.mp4,lowV_highA
485,ACCEDE02603,1.34,4.41,d:/optilab/synchrony/data/videoACCEDE02603.mp4,lowV_highA
486,ACCEDE00415,1.39,4.41,d:/optilab/synchrony/data/videoACCEDE00415.mp4,lowV_highA
487,ACCEDE07673,1.34,4.41,d:/optilab/synchrony/data/videoACCEDE07673.mp4,lowV_highA
488,ACCEDE01396,1.62,4.41,d:/optilab/synchrony/data/videoACCEDE01396.mp4,lowV_highA
489,ACCEDE08395,1.5,4.41,d:/optilab/synchrony/data/videoACCEDE08395.mp4,lowV_highA
490,ACCEDE03187,1.37,4.41,d:/optilab/synchrony/data/videoACCEDE03187.mp4,lowV_highA
491,ACCEDE06333,1.63,4.4,d:/optilab/synchrony/data/videoACCEDE06333.mp4,lowV_highA
492,ACCEDE03269,1.33,4.4,d:/optilab/synchrony/data/videoACCEDE03269.mp4,lowV_highA
493,ACCEDE03117,1.34,4.39,d:/optilab/synchrony/data/videoACCEDE03117.mp4,lowV_highA
